timestamp,status,url,details
2025-10-19 19:28:23,ERR,http://192.168.1.1:1024/multi.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1024/cgistart,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1024/view/viewer_index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8000/control/userimage.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1026/multi.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8081/control/player,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8081/view/view.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8081/cgistart,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:82/control/multiview,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:81/view/viewer_index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:81/multi.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1026/view/viewer_index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1024/axis-cgi/mjpg/video.cgi,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1024/control/player,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8082/control/multiview,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1026/view/index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1026/control/userimage.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1024/control/userimage.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:82/view/viewer_index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1026/control/multiview,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8081/control/userimage.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:82/multi.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:82/control/player,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:82/view/index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8082/multi.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8000/view/viewer_index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1024/view/view.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:81/view/index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8081/multi.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8082/axis-cgi/mjpg/video.cgi,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1026/view/view.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8000/view/index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8000/control/player,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8082/control/userimage.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:9600/control/player,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:9600/view/view.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:1024/view/index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:9600/multi.html,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:9600/view/index.shtml,[WinError 10061] No connection could be made because the target machine actively refused it
2025-10-19 19:28:23,ERR,http://192.168.1.1:8000/control/multiview,[WinError 10061] No connection could be made because the target machine actively refused it
